
524969.5402	9523790.7435	286.1200
524970.9105	9523795.6410	285.9300
524971.1695	9523796.2862	286.1400
524971.8871	9523797.6494	286.1700
524973.1006	9523802.4898	286.3300
524974.1625	9523806.3729	286.2400
524974.9241	9523807.8037	286.1300
524975.0811	9523808.3620	285.8900
524976.4615	9523811.6788	287.1200
524976.4892	9523811.4725	287.1800
524977.3045	9523814.6947	286.9500
524978.4714	9523817.4517	286.8600
524978.5749	9523817.5703	287.0100
524978.7747	9523796.0669	286.1400
524978.8307	9523818.7437	287.0400
524979.3083	9523820.2844	287.0900
524979.7906	9523821.7645	287.3700
524984.2501	9523803.5345	286.0800
524985.8309	9523787.8028	285.5700
524993.3074	9523792.1504	285.9000
524995.8216	9523800.5536	285.9100
524998.7333	9523795.1016	285.7300
524998.8733	9523783.3050	285.0800
524999.1877	9523799.5298	285.9100
524999.7491	9523786.6169	285.5700
525000.4612	9523800.9899	285.6500
525001.5920	9523800.8385	284.5700
525004.0391	9523814.9045	286.2100
525004.5508	9523799.8763	285.5500
525004.8678	9523800.8980	285.3000
525004.9376	9523786.6335	284.7500
525004.9986	9523786.5131	285.2000
525005.1021	9523787.0681	284.7400
525005.1599	9523787.0752	285.4000
525005.1795	9523801.6806	285.7600
525005.1908	9523801.7578	285.6700
525006.0594	9523804.8312	285.5400
525006.7075	9523807.7264	285.6500
525006.7137	9523807.6716	285.4800
525006.8515	9523786.7765	285.4000
525007.0782	9523809.0614	285.6500
525007.2599	9523792.7789	285.6700
525007.4994	9523810.8066	285.7300
525007.8942	9523799.0159	285.4600
525007.9765	9523799.1682	284.5000
525008.0792	9523799.8253	285.2100
525008.1298	9523799.7799	284.5000
525009.0705	9523781.6263	284.8900
525009.7600	9523784.3681	285.2700
525010.6591	9523787.6004	285.4900
525012.7467	9523795.8241	285.5700
525014.4247	9523798.9734	285.3800
525014.5010	9523811.1302	285.5800
525017.4740	9523781.1226	284.9600
525022.0809	9523781.9403	284.2400
525022.1235	9523795.2372	285.0400
525022.1481	9523795.2949	284.1000
525022.1546	9523781.9198	284.7500
525022.2300	9523782.4805	284.2100
525022.2384	9523782.5716	284.9100
525022.3099	9523795.9464	284.1000
525022.4137	9523796.0351	284.8700
525025.1653	9523795.9522	284.9100
525025.2785	9523796.1300	284.9100
